time,event,type,missing_in,classification,reason,rule_id
2026-04-22T00:44:57,Menu Opened: Alarm Setup,USER_ACTION,"SBX,DOCOM,HL7",EXPECTED_MISSING,HL7 does not export UI alarm or limit configuration,EXP_HL7_001
2026-04-22T00:44:58,Menu Opened: Alarm Setup,USER_ACTION,"SBX,DOCOM,HL7",EXPECTED_MISSING,HL7 does not export UI alarm or limit configuration,EXP_HL7_001
2026-04-22T00:44:59,Menu Opened: Alarm Setup,USER_ACTION,"SBX,DOCOM,HL7",EXPECTED_MISSING,HL7 does not export UI alarm or limit configuration,EXP_HL7_001
2026-04-22T00:46:08,KeyPressed on : Quick Key: VCV TV - 600,USER_ACTION,"SBX,DOCOM,HL7",REVIEW_REQUIRED,No matching classification rule,REVIEW_001
2026-04-22T00:46:09,QuickKey: TV setting changed from 600 to 650,USER_ACTION,"SBX,DOCOM,HL7",EXPECTED_MISSING,HL7 does not export UI alarm or limit configuration,EXP_HL7_001
2026-04-22T00:46:10,KeyPressed on : Quick Key: VCV RR - 18,USER_ACTION,"SBX,DOCOM,HL7",POTENTIAL_DEFECT,Configuration changes must be reflected in Do-Com,DEF_DOCOM_001
2026-04-22T00:46:11,QuickKey: RR setting changed from 18 to 19,USER_ACTION,"SBX,DOCOM,HL7",EXPECTED_MISSING,HL7 does not export UI alarm or limit configuration,EXP_HL7_001
2026-04-22T00:46:16,Spirometry button is pressed.,USER_ACTION,"SBX,DOCOM,HL7",EXPECTED_MISSING,HL7 does not reflect UI navigation events,EXP_HL7_002
2026-04-22T00:46:16,Menu Opened: Spirometry,USER_ACTION,"SBX,DOCOM,HL7",EXPECTED_MISSING,HL7 does not reflect UI navigation events,EXP_HL7_002
2026-04-22T00:46:19,Spirometry CloseIcon button is pressed.,USER_ACTION,"SBX,DOCOM,HL7",EXPECTED_MISSING,HL7 does not reflect UI navigation events,EXP_HL7_002
2026-04-22T00:46:30,System Setup button is pressed.,USER_ACTION,"SBX,DOCOM,HL7",EXPECTED_MISSING,HL7 does not reflect UI navigation events,EXP_HL7_002
2026-04-22T00:46:30,Menu Opened: System Setup,USER_ACTION,"SBX,DOCOM,HL7",EXPECTED_MISSING,HL7 does not reflect UI navigation events,EXP_HL7_002
2026-04-22T00:46:32,Alarm Setup button is pressed.,USER_ACTION,"SBX,DOCOM,HL7",EXPECTED_MISSING,HL7 does not export UI alarm or limit configuration,EXP_HL7_001
2026-04-22T00:46:32,Menu Opened: Alarm Setup,USER_ACTION,"SBX,DOCOM,HL7",EXPECTED_MISSING,HL7 does not export UI alarm or limit configuration,EXP_HL7_001
2026-04-22T00:46:35,MV(Low Limit); New Numeric Value: 2.3,USER_ACTION,"SBX,DOCOM,HL7",EXPECTED_MISSING,HL7 does not export UI alarm or limit configuration,EXP_HL7_001
2026-04-22T00:46:37,MV(High Limit); New Numeric Value: 11.5,USER_ACTION,"SBX,DOCOM,HL7",EXPECTED_MISSING,HL7 does not export UI alarm or limit configuration,EXP_HL7_001
2026-04-22T00:46:39,EtCO2(Low Limit); New Numeric Value: 3.4,USER_ACTION,"SBX,DOCOM,HL7",EXPECTED_MISSING,HL7 does not export UI alarm or limit configuration,EXP_HL7_001
